TMDB ID,Title,Budget,IMDB ID,Release Date,Revenue,Primary Genre,Opening Weekend Theaters,Opening Weekend BO,Domestic BO,International BO,Total BO,RT Audience,RT Critic,Domestic Distributor,International Distributor,Director,Logged,Poster Path,Distributor,Widest Release Theaters,Wikidata ID
933260,The Substance,17500000,tt17526714,2024-09-07,42776354,,1949,3205212,15444274,27808317,,,,,,,true,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,MUBI,1949,0
840705,Blink Twice,20000000,tt14858658,2024-08-21,43555474,,3067,7301894,23093906,23300000,,,,,,,true,/lZGOK0I2DJSRlEPNOAFTSNxSjDD.jpg,Amazon/MGM,3067,0
947891,My Old Ass,3000000,tt18559464,2024-09-13,5671147,,7,167853,5372282,326815,,,,,,,true,/yUs4Sw9AyTg2sA1qWBkNpD2mGSj.jpg,Amazon/MGM,1390,0
1029281,Strange Darling,4000000,tt22375054,2024-08-22,3504687,,1135,1142928,3083595,681176,,,,,,,true,/kWNCRgt3ocv19bYO0sk7TRuZuFY.jpg,"",1135,0
1114513,Speak No Evil,15000000,tt27534307,2024-09-11,75711395,,3375,11397595,36909405,39520702,,,,,,,true,/fDtkrO2OAF8LKQTdzYmu1Y7lCLB.jpg,Universal Pictures,3375,0
917496,Beetlejuice Beetlejuice,100000000,tt2049403,2024-09-04,445300598,,4575,111003345,292099291,153100000,,,,,,,true,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,Warner Bros.,4575,0
889737,Joker: Folie à Deux,195000000,tt11315808,2024-10-01,200714058,,4102,37678467,58060959,143500000,,,,,,,true,/if8QiqCI7WAGImKcJCfzp6VTyKA.jpg,Warner Bros.,4102,0
346698,Barbie,145000000,tt1517268,2023-07-19,1445638421,,,,,,,,,,,,,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,,,
502356,The Super Mario Bros. Movie,100000000,tt6718170,2023-04-05,1362000000,,,,,,,,,,,,,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,,,
569094,Spider-Man: Across the Spider-Verse,100000000,tt9362722,2023-05-31,690897910,,,,,,,,,,,,,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,,,
447365,Guardians of the Galaxy Vol. 3,250000000,tt6791350,2023-05-03,845600000,,,,,,,,,,,,,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,,,
872585,Oppenheimer,100000000,tt15398776,2023-07-19,952000000,,,,,,,,,,,,,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,,,
447277,The Little Mermaid,297000000,tt5971474,2023-05-18,569626289,,,,,,,,,,,,,/ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg,,,
787699,Wonka,125000000,tt6166392,2023-12-06,632302312,,,,,,,,,,,,,/qhb1qOilapbapxWQn9jtRCMwXJF.jpg,,,
640146,Ant-Man and the Wasp: Quantumania,388369742,tt10954600,2023-02-15,476071180,,,,,,,,,,,,,/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg,,,
603692,John Wick: Chapter 4,90000000,tt10366206,2023-03-22,440157245,,,,,,,,,,,,,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,,,
678512,Sound of Freedom,14500000,tt7599146,2023-07-03,250600000,,,,,,,,,,,,,/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg,,,
1160164,TAYLOR SWIFT | THE ERAS TOUR,15000000,tt28814949,2023-10-13,261656269,,,,,,,,,,,,,/jf3YO8hOqGHCupsREf5qymYq1n.jpg,,,
335977,Indiana Jones and the Dial of Destiny,294700000,tt1462764,2023-06-25,383963057,,,,,,,,,,,,,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,,,
575264,Mission: Impossible - Dead Reckoning Part One,291000000,tt9603212,2023-07-08,567535383,,,,,,,,,,,,,/NNxYkU70HPurnNCSiCjYAmacwm.jpg,,,
695721,The Hunger Games: The Ballad of Songbirds & Snakes,100000000,tt10545296,2023-11-15,337371917,,,,,,,,,,,,,/mBaXZ95R2OxueZhvQbcEWy2DqyO.jpg,,,
667538,Transformers: Rise of the Beasts,195000000,tt5090568,2023-06-06,439000000,,,,,,,,,,,,,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,,,
677179,Creed III,75000000,tt11145118,2023-03-01,275300000,,,,,,,,,,,,,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,,,
976573,Elemental,200000000,tt15789038,2023-06-14,496000000,,,,,,,,,,,,,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg,,,
385687,Fast X,340000000,tt5433140,2023-05-17,704709660,,,,,,,,,,,,,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,,,
507089,Five Nights at Freddy's,20000000,tt4589218,2023-10-25,294803785,,,,,,,,,,,,,/4dKRTUylqwXQ4VJz0BS84fqW2wa.jpg,,,
940551,Migration,72000000,tt6495056,2023-12-06,298776052,,,,,,,,,,,,,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,,,
572802,Aquaman and the Lost Kingdom,205000000,tt9663764,2023-12-20,434381226,,,,,,,,,,,,,/7lTnXOy0iNtBAdRP3TZvaKJ77F6.jpg,,,
614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,75000000,tt8589698,2023-07-31,180513586,,,,,,,,,,,,,/ueO9MYIOHO7M1PiMUeX74uf8fB9.jpg,,,
934433,Scream VI,35000000,tt17663992,2023-03-08,168961389,,,,,,,,,,,,,/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg,,,
298618,The Flash,220000000,tt0439572,2023-06-13,271333313,,,,,,,,,,,,,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,,,
901362,Trolls Band Together,95000000,tt14362112,2023-10-12,207318137,,,,,,,,,,,,,/bkpPTZUdq31UGDovmszsg2CchiI.jpg,,,
536554,M3GAN,12000000,tt8760708,2022-12-28,180089109,,,,,,,,,,,,,/d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,,,
493529,Dungeons & Dragons: Honor Among Thieves,151000000,tt2906216,2023-03-23,208200000,,,,,,,,,,,,,/v7UF7ypAqjsFZFdjksjQ7IUpXdn.jpg,,,
926393,The Equalizer 3,70000000,tt17024450,2023-08-30,190000000,,,,,,,,,,,,,/b0Ej6fnXAP8fK75hlyi2jKqdhHz.jpg,,,
1072790,Anyone But You,25000000,tt26047818,2023-12-21,214891370,,,,,,,,,,,,,/5qHoazZiaLe7oFBok7XlUhg96f2.jpg,,,
968051,The Nun II,38500000,tt10160976,2023-09-06,269467073,,,,,,,,,,,,,/5gzzkR7y3hnY8AD1wXjCnVlHba5.jpg,,,
609681,The Marvels,274800000,tt10676048,2023-11-08,207089999,,,,,,,,,,,,,/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,,,
615656,Meg 2: The Trench,129000000,tt9224104,2023-08-02,384056482,,,,,,,,,,,,,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,,,
