ID,TMDB ID,Wikidata ID,IMDB ID,Title,Budget,Release Date,Revenue,Primary Genre,Opening Weekend Theaters,Opening Weekend BO,Domestic BO,International BO,Total BO,RT Audience,RT Critic,Domestic Distributor,International Distributor,Director,Logged,Poster Path,Distributor,Widest Release Theaters
1,933260,0,tt17526714,The Substance,17500000,2024-09-07,42776354,,1949,3205212,16425984,40763535,57189519,,,,,,true,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,MUBI,1949
2,840705,0,tt14858658,Blink Twice,20000000,2024-08-21,43555474,,3067,7301894,23093906,23300000,46393906,,,,,,true,/lZGOK0I2DJSRlEPNOAFTSNxSjDD.jpg,Amazon MGM Studios,3067
3,947891,0,tt18559464,My Old Ass,3000000,2024-09-13,5671147,,7,167853,5372282,333609,5705891,,,,,,true,/yUs4Sw9AyTg2sA1qWBkNpD2mGSj.jpg,Amazon MGM Studios,1390
4,1029281,0,tt22375054,Strange Darling,4000000,2024-08-22,3504687,,1135,1142928,3083595,689062,3772657,,,,,,true,/kWNCRgt3ocv19bYO0sk7TRuZuFY.jpg,"",1135
5,1114513,0,tt27534307,Speak No Evil,15000000,2024-09-11,75711395,,3375,11397595,36931420,39824689,76756109,,,,,,true,/fDtkrO2OAF8LKQTdzYmu1Y7lCLB.jpg,Universal Pictures,3375
6,917496,0,tt2049403,Beetlejuice Beetlejuice,100000000,2024-09-04,445300598,,4575,111003345,294100435,157000000,451100435,,,,,,true,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,Warner Bros.,4575
7,889737,0,tt11315808,Joker: Folie à Deux,195000000,2024-10-01,200714058,,4102,37678467,58300287,148100000,206400287,,,,,,true,/if8QiqCI7WAGImKcJCfzp6VTyKA.jpg,Warner Bros.,4102
209,346698,,tt1517268,Barbie,145000000,2023-07-19,1445638421,,4243,162022044,636238421,810700000,1446938421,,,,,,,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,Warner Bros.,4337
210,502356,,tt6718170,The Super Mario Bros. Movie,100000000,2023-04-05,1362000000,,4343,146361865,574934330,785913335,1360847665,,,,,,,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,Universal Pictures,4371
211,569094,,tt9362722,Spider-Man: Across the Spider-Verse,100000000,2023-05-31,690897910,,4313,120663589,381311319,309230984,690542303,,,,,,,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,Columbia Pictures,4332
